text,source,label
"                  (d) Whereas KI, Inc. has the authority to grant the right to use KI's name, likeness and endorsement to Diplomat in connection with the advertisement, promotion and sale of KI Eyewear and desires to do so;",AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.pdf,not_important
"TO THE MAXIMUM EXTENT PERMISSIBLE UNDER APPLICABLE LAW, NEITHER ABG NOR AUTHENTIC BRANDS GROUP LLC NOR CELEBRITY SHALL BE LIABLE TO PAPA JOHN’S FOR ANY CONSEQUENTIAL, INCIDENTAL, PUNITIVE, EXEMPLARY, OR SPECIAL DAMAGES, REGARDLESS OF THE FORM OR ACTION, WHETHER IN CONTRACT OR IN TORT, EVEN IF ABG OR AUTHENTIC BRANDS GROUP LLC HAS BEEN ADVISED OF THE POSSIBLITY OF SUCH DAMAGES OR LOSSES. IN NO EVENT SHALL ABG’S, AUTHENTIC BRANDS GROUP LLC’S, AND CELEBRITY’S TOTAL LIABILITY UNDER THIS AGREEMENT EXCEED THE AMOUNTS ACTUALLY RECEIVED BY ABG (EXCLUSIVE OF REIUMBURSEMENT OF EXPENSES) HEREUNDER, REGARDLESS OF THE NUMBER OR TYPE OF CLAIMS.",PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement.pdf,important
LICENSE AND DEVELOPMENT AGREEMENT,CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.pdf,important
"""Commercially Reasonable Efforts"" means, with respect to each Party, such efforts and commitment of resources in accordance with [***] that such Party [***]. As used in this definition of ""Commercially Reasonable Efforts"", ""reasonable"" shall be measured by [***]. References in this Agreement to ""commercially reasonable"" and similar formulations shall be deemed to incorporate the standard set forth in this definition of ""Commercially Reasonable Efforts"";","Antares Pharma, Inc. - Manufacturing Agreement.pdf",not_important
  15.02.1.3.1 Any of the PHL Parties is placed in receivership or conservatorship or other proceedings  pursuant to which it is substantially prevented from continuing to engage in the lines of  business relevant to the subject matter hereof.,PHLVARIABLEINSURANCECOCT_08_17_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.pdf,not_important
"promptly provide the same to Agent, if available, for which Agent shall reimburse Merchant at Merchant's cost therefor.",BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.pdf,not_important
THE PROVISIONS OF THIS PARAGRAPH 14 SET FORTH EACH PARTY’S SOLE AND EXCLUSIVE OBLIGATIONS AND REMEDIES WITH RESPECT TO THIRD PARTY CLAIMS OF INFRINGEMENT OR MISAPPROPRIATION OF INTELLECTUAL PROPERTY RIGHTS OF ANY KIND UNLESS OTHERWISE STIPULATED BY JUDICIAL ORDER. No legal action shall be brought by Licensee under this Agreement unless commenced within 12 months from the date the cause of action arose.,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.pdf,important
" Diligently and immediately take such steps as are deemed reasonably necessary by AIRSOPURE to correct any deficiencies detected by AIRSOPURE in Your adherence to AIRSOPURE's operating policies, procedures, standards and specifications",AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.pdf,not_important
"The Company and Online BVI each assign to Skype, with full title guarantee, all copyrights, patents, trade marks, service marks, rights of publicity, authors‚Äô rights, contract and licensing rights, goodwill and all other intellectual property rights in and to the foregoing translations as may exist now and/or hereafter come into existence and arising under the laws of any jurisdiction for the entire term of such rights and all renewals, revivals and extensions thereof. The right, title and interest in and to the Company-Skype Branded Content shall be owned by Skype to the extent made up of the Skype Rights which have been integrated into the Company-Skype Branded Content, and by the Online Group to the extent made up of the Group Rights which have been integrated into the Company-Skype Branded Content. if such rights comprise (i) intellectual property that constitutes predominantly communication software or related communication hardware or other technology, including without limitation, any upgrades and Improvements thereof, or (ii) any ‚Äúuser‚Äù names, and other ‚Äúuser profile‚Äù information included within the Company-Skype Branded Application (i.e., dates of birth, addresses, languages spoken, etc.), of Company-Skype Branded Customers collected as part of the registration process for the Company-Skype Branded Application (it being understood that Skype will make such user information available to Online BVI and the Company for use consistent with the applicable privacy policies and the EULA) and any database incorporating the same, then such rights shall be owned exclusively by Skype and neither Online BVI nor the Company will grant, nor claim for itself or its affiliated entities, independent contractors, or employees, either expressly or impliedly, any rights, title, interest, or licenses to such rights and each assigns to Skype, with full title guarantee, all copyrights, patents, trade marks, service marks, rights of publicity, authors‚Äô rights, contract and licensing rights, goodwill and all other intellectual property rights in and to the same as may exist now and/or hereafter come into existence and arising under the laws of any jurisdiction for the entire term of such rights and all renewals, revivals and extensions thereof. if such rights comprise any data specifically provided to the Group by Customers during the billing process (‚ÄúBilling Data‚Äù), then such rights shall be owned exclusively by the Online Group and neither Skype nor the Company will grant, nor claim for itself or its affiliated entities, independent contractors, or employees, either expressly or impliedly, any rights, title, interest, or licenses to such rights and each assigns to Online BVI, with full title guarantee, all copyrights, patents, trade marks, service marks, rights of publicity, authors‚Äô rights, contract and licensing rights, goodwill and all other intellectual property rights in and to the same as may exist now and/or hereafter come into existence and arising under the laws of any jurisdiction for the entire term of such rights and all renewals, revivals and extensions thereof.",TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,important
"G1.3.1 WAN Services - Site Network Vendor (AT&T and other) costs for usage of MPLS and ISP services. G1.3.2 Voice and Cellular Phone Service Local, Long Distance, & Mobile usage costs.",ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.pdf,not_important
"Except as part of a transaction permitted under this Section 15.2, in no event shall RevMed assign or transfer, or agree to assign or transfer to any Third Party, any or all of the RevMed Licensed Patents without the consent of Sanofi, not be unreasonably withheld or conditioned.",RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,important
"COM       By: /s/   By: /s/   Matthew Carona, CEO     Steve Einzig, President



Source: VNUE, INC",VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.pdf,not_important
In the event the Production Session exceeds eight (8) hours in duration HDS and  Celebrity will negotiate in good faith additional compensation to Celebrity for time in excess of eight (8)  hours.,PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,important
"This Agreement will be governed in all respects by the laws of the State of Ohio (without regard to conflicts of law provisions), as such laws are applied to agreements entered into and to be performed entirely within the State of Ohio between Ohio residents.",GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,important
"COMWARE TECHNICAL SERVICES OF 17922 SKY PARK CIRCLE, SUITE E, IRVINE, CALIFORNIA 92614-6414  (COMWARE) certifies that the Products furnished under this agreement by INTERNATIONAL TEST SYSTEMS, INC. OF 4703 SHAVANO OAK, SUITE 102, SAN ANTONIO, TEXAS 78249 (ITS) will be incorporated by COMWARE as a part of COMWARE'S systems which  COMWARE  sells or leases to  unaffiliated  third  parties in the  regular course of  COMWARE'S  business  and that  COMWARE'S  own  contribution  to these systems reflect a verifiable value added.  COMWARE also represents that it is an experienced  user of  computer  equipment  and  software  sufficiently  like the Products,  as  defined  below,  and  that it needs  only  minor  support  in the incorporation of the Products into its lines of business.","OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT.pdf",not_important
"COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,important
"GENO AURIEMMA “Auriemma” BERKSHIRE BANK “Berkshire” (Each or both of which shall  hereinafter be referred to as the “PARTY” or “PARTIES,” respectively).",BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,important
"7.5.4 Distributions; Investments. PB shall not, without SFJ's prior written consent, (a) pay any dividends or make any distribution or payment on account of or redeem, retire or purchase any capital stock, provided that (i) PB may convert any of its equity convertible securities into other equity securities (or cash for partial shares) pursuant to the terms of such equity convertible securities or otherwise in exchange thereof, (ii) PB may pay dividends",PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,not_important
"Priority One (""P-1"") is reserved for critical and severe Software problems which cause the Software to fail or act in a manner which causes the Software to be unusable.",EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.pdf,not_important
"AT&T may elect to, after consultation with Vendor and good faith discussion to negotiate another resolution:  (i) terminate its obligations solely with respect to each Cell Site affected by or related to such Permitting Delay under this Agreement and exercise any of the Termination Remedies set forth in the Build Addendum, without liability to Vendor; provided that AT&T shall pay to Vendor, an amount equal to the demonstrated costs incurred by Vendor for any Work completed (in accordance with applicable Specifications and requirements) to the extent such Work is transferred to AT&T as of the effective time of termination of the applicable terminated Cell Site, which amount shall not exceed $[***] Insofar as Vendor’s obligations under Subsection (b)(i) result from, arise out of, or relate to a Covered Claim that is a Combination Claim, Vendor shall be liable to pay only its Proportionate Share of the Covered Loss associated with such Combination Claim. Notwithstanding anything contained in this Agreement to the contrary, neither Party shall be liable to the other Party for any special, consequential, incidental or punitive damages, however caused, based on any theory of liability except to the extent such damages are payable by such Party (a) pursuant to its indemnification obligations under Section 3.15 and infringement indemnification obligations under Section 3.17, (b) arising out of or resulting from such Party’s breach of its confidentiality obligations set forth in this Agreement (including Section 3.16, Section 3.48, Section 4.2 and Exhibit A attached hereto) or (c) in connection with a Third Party Loss arising out of or resulting from such Party’s violation of applicable Law.",AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,important
"Following the Initial Term, either Party may terminate this Agreement without cause upon written notice to the other Party of at least 3 months.",HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,important
 All reporting and payment requirements under this Section shall be subject to the audit requirements of this Agreement,"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT.pdf",not_important
"delivered,  personally;  (b) or on the date received if mailed,  by  first-class international mail (with all postage prepaid);  (c) on the date of the facsimile transmission,  if received on a business day between the hours of 9:00 a. m. and 6:00 p. m. in the time zone of the intended  recipient  or on the next  business day if  received  after  that  time,  in each  case  with an  automatic  machine confirmation  indicating the time of receipt;  or (d) on the second business day after delivery&bbsp;to a recognized  international  overnight express courier company (with all costs prepaid).",XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT.pdf,not_important
"   ""Estimated Remaining Value"" shall mean the number of calendar months remaining between the Effective Date of Termination and the last day of the contracted-for Term, multiplied by the average of the three (3) highest monthly fees (but in any event no less than the Monthly Base Fee or other monthly minimums) payable by Customer during the twelve (12) -month period prior to the event giving rise to termination rights under this Agreement",OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.pdf,not_important
caused by an act or omission of the BSP or its personnel.,ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.pdf,not_important
" At the end of such ten          (10) business day period, if the parties have not resolved the dispute,          the matter shall be referred to dispute resolution in the manner set          forth in the escrow agreement and there shall be no release until the          dispute is resolved",CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT.pdf,not_important
"

ARTICLE XII ""Governing  XIII ""Interpretation""

Where appropriate in this Agreement, words used in the singular will include the plural and words used in the masculine will include the feminine",PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,not_important
"        (h) if expressly authorized by IBM to distribute the MS Software     Images(s) on media other than installed on the Product hard disk, distribute     the MS Software Image(s) on separate media (e.g., separate diskettes,     CD-ROM disc, etc.) from other software, except for distribution of a     Recovery CD approved by IBM and MS;",MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.pdf,not_important
2020-03-26 00:00:00,"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2.pdf",important
"Upon Acceptance as provided in Clause 9.2 HealthGate shall deliver             into escrow the source code, source listings and information for the             Proprietary Software included in the System in accordance with the             terms of the Escrow Agreement. HealthGate and the Publishers shall enter and maintain in force the             Escrow Agreement for such period as the Publishers require. Whenever a new version of the Proprietary Software is used for the             Site, HealthGate will promptly deposit a new version of the source             code and the operational documentation for that version under the             same Escrow Agreement, and notify the Publishers in writing that the             deposit has been made. If no new version has been deposited in any 6 month period,             HealthGate will deposit a replacement copy of the then current             version of the source code of the Proprietary Software under the             Escrow Agreement and will notify the Publishers in writing.",HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).pdf,important
"5.4 Purchase Orders. This Section 5.4 sets forth a general framework for Purchase Order-related terms and conditions, which shall apply unless modified terms and conditions for a particular Bellicum Product are set forth in its corresponding Module.","BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.pdf",not_important
"          (iii) Any affirmative act of bankruptcy or insolvency by                   Franchisee,  or the filing by  Franchisee  of any  petition or                   action in bankruptcy or  insolvency,  or for  appointment of a                   receiver  or  trustee,   Franchisee   admits  in  writing  his                   inability to pay his debts or an assignment by Franchisee  for                   the benefit of creditors,  or the failure to vacate or dismiss                   within  five  (5)  days  after  filing  any  such  proceedings                   commenced  against  Franchisee  by a third  party.  Franchisee                   expressly  and  knowingly  waives any rights  that he may have                   under the provisions of the  Bankruptcy  Rules and consents to                   the  termination  of this  Agreement or any other relief which                   may be sought in a complaint filed by Pretzel Time to lift the                   provisions  of the  automatic  stay of the  Bankruptcy  Rules.                   Additionally Franchisee agrees not to seek an injunction order                   from any court in any  jurisdiction  relating  to  insolvency,                   reorganization of arrangement proceedings which would have the                   effect of staying or enjoining this provision.  THIS PROVISION                   MAY  NOT BE  ENFORCEABLE  UNDER  FEDERAL  BANKRUPTCY  LAW  (11                   U.S.C.A. Sec. 101 et seq.); or",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.pdf,not_important
"In the event that such assignment would be unlawful, Vyera shall, and hereby does, grant to CytoDyn an exclusive, irrevocable, worldwide, sublicensable (including through multiple tiers), transferrable (without consent) royalty free license to any and all right, title and/or interest that it may have in or to an Invention. Following the expiration of the Royalty Term with respect to the Licensed Product, the licenses granted under Section 2.1 with respect to such Licensed Product in the Field and the Territory shall be non-exclusive, perpetual, irrevocable, fully-paid and royalty-free. Upon the expiration of the Royalty Term, the license granted to Vyera under Section 2.1 of this Agreement shall become non-exclusive, fully-paid, royalty free, perpetual and irrevocable.",CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,important
"Skype Communications, S.A. “Skype” Skype Technologies, S.A. “Skype Holding” TOM Online (BVI) Limited “Online BVI” TOM Online Inc. “Tom Holding” Tel-Online Limited “Company” Skype, Online BVI and the Company may be referred to individually as “Party” and collectively as “Parties.” Skype, Online BVI, the Company, Skype Holding and Tom Holding may be referred to individually as “party to this Agreement” and collectively as “parties to this Agreement.”",TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,important
"For Product purchases made by Buyer Affiliates i n: Denmark, France, Germany, United Kingdom, Serbia and Ireland ExxonMobil Petroleum & Chemical BVBA (EMPC) Polderdijkweg B - 2030 Antwerpen, Belgium",WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement.pdf,not_important
"1, a Disputed JOC Matter, which shall be resolved as provided in Section 2",ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,not_important
" If, prior to the Development Report Review Deadline, AbbVie provides written notice to Harpoon reasonably requesting supplemental data or Information that is in Harpoon's possession or reasonably available to Harpoon (and that, in each case, can be provided without performing any additional research, studies or material scientific analysis, or generating any additional data) and is reasonably necessary for AbbVie to make [***] (such notice to provide reasonable detail regarding the basis for such request), then Harpoon shall provide to AbbVie such requested supplemental data or Information within [***] of its receipt of such notice (or such longer period as the Parties may mutually agree is necessary to obtain and provide such supplemental data or Information)",HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.pdf,not_important
"1.31 ""Field"" means all oncology therapies; provided, however, that in the case of any Products covered by a Patent or other intellectual property right licensed in one or more Upstream Licenses, ""Field"" shall be limited to the minimum extent necessary to comply with the terms of such Upstream License for so long as such limitation is necessary to avoid breach of the Upstream License.",MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.pdf,not_important
" (b) Subject to Applicable Law, commercial terms for QIWI to provide consumer scoring data it has collected to Otkritie;",QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.pdf,not_important
  of the marketing and sale of goods similar to the Products in the Territory. by using the Technical Know-How,IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT.pdf,not_important
"""Treasury Regulations"" shall mean regulations, including proposed or temporary regulations, promulgated under the Code. References herein to specific provisions of proposed or temporary regulations shall include analogous provisions of final Treasury Regulations or other successor Treasury Regulations.",VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement.pdf,not_important
12.3. Governing Law. This Agreement shall be construed and enforced in accordance with the laws of the State of New Jersey.,SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT.pdf,not_important
8/4/10,ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.pdf,important
"8 shall commence on the Effective Date and continue for five (5) years thereafter (the ""Database Insights Term"")","FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.pdf",not_important
" In relation to Clinical Studies, MD Anderson will keep Adaptimmune reasonably informed of the progress of the Study and respond to any reasonable queries of Adaptimmune in relation to such Study promptly",ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.pdf,not_important
"Following the Initial Term, the Agreement shall automatically be renewed for additional periods of **** (each, a “Renewal Term,” and, together with the Initial Term, the “Term”)), unless a Party provides written notification of non-renewal to the other Party at least **** of the Initial Term or a Renewal Term.",KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,important
"(a) If either Party reasonably determines, in consultation with the JRDC, that (i) the Research, Development, Manufacture, or Commercialization of [***] infringes or misappropriates any Patent Right or other intellectual property right of a Third Party, such that such Party or its respective Affiliates or Sublicensees cannot [***] without infringing or misappropriating the Patent Right or other intellectual property right of such Third Party (a ""Third Party Right"") or (ii) [***], such Party shall notify the other Party (such notification, the ""Third Party Right Notification""), and promptly thereafter the Parties shall discuss obtaining a license to the applicable intellectual property right.",RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,not_important
"     (xxvii) ""BUSINESS DAYS"" - Sunday to Thursday, excluding holidays. Holiday           eves shall be regarded as half a business day.",NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.pdf,not_important
This Agreement will be governed and construed in accordance with the laws of the State of California without giving effect to conflict of laws principles.,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,important
CO-BRANDING AGREEMENT,EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,important
"If Affiliate fails to notify Network of its desire that this Agreement terminate on its expiration date, at least six (6) months before the expiration date, this Agreement will automatically renew, upon the same terms and conditions, for an additional four (4) -year period (“Renewal Term”).",TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,important
2012-04-01 00:00:00,InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,important
            23.2.2. HealthGate shall make available for the Publishers and/or                     the Publishers' auditors inspection all records relating to                     the fees and to the Services provided pursuant to this                     Agreement.,HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).pdf,not_important
[]/[]/2020,ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,important
"       E.   In consultation with the mediator selected, the parties shall promptly designate a mutually convenient time and place for the mediation, and unless circumstances require otherwise, such time is to be not later than forty-five (45) days after selection of the mediator.  In the event any party to this Agreement has substantial need for information in the possession of another party to this Agreement in order to prepare for the mediation, all parties shall attempt in good faith to agree on procedures for the expeditious exchange of such information, with the help of the mediator if required.  At least seven (7) days prior to the first scheduled session of the mediation, each party shall deliver to the mediator and to the other party a concise written summary of its views on the matter in dispute, and such other matters required by the mediator. The mediator may also request that a confidential issue paper be submitted to him by each party.",BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.pdf,not_important
